Rk,Player,Nationality,Position,Club,Age,Match Played,Starts,Minutes Played,Goals,Assist,Yellow Card,Red Card,2 Yellow Card,Penalty Kicks,Penalty Attempted,xG,xAG
158,Óscar Duarte,CRC,DF,Levante,32,23,20,1773,2,0,5,0,0,0,0,1.2,0.4
159,Rubén Duarte,ESP,DF,Alavés,25,34,31,2621,0,4,12,1,1,0,0,0.4,2.5
160,Unai Dufur,ESP,DF,Osasuna,22,1,1,90,0,0,0,0,0,0,0,0,0
161,Hugo Duro,ESP,DFMF,Getafe,21,1,0,12,0,0,0,0,0,0,0,0.1,0
162,Hugo Duro,ESP,FWMF,Valencia,21,30,22,1834,7,1,3,1,1,0,0,3.5,0.7
163,Aritz Elustondo,ESP,DF,Real Sociedad,27,30,22,2105,4,1,3,1,0,0,0,1.6,0.1
164,Adri Embarba,ESP,FWMF,Espanyol,29,32,24,1986,0,2,4,0,0,0,0,2.8,2.5
165,Emerson,BRA,DF,Barcelona,22,3,1,91,0,0,0,0,0,0,0,0,0
166,Youssef En-Nesyri,MAR,FW,Sevilla,24,23,15,1277,5,1,1,0,0,1,1,6.4,1.2
167,Gonzalo Escalante,ARG,MF,Alavés,28,17,15,1300,5,0,8,1,1,0,0,3.2,0.2
168,Aarón Escandell,ESP,GK,Granada,25,4,3,284,0,0,1,1,0,0,0,0,0
169,Sergio Escudero,ESP,DFMF,Granada,31,27,15,1434,2,1,6,0,0,0,0,1.1,1.6
170,Alfonso Espino,URU,DF,Cádiz,29,37,37,3329,2,2,6,0,0,0,0,1.7,2.5
171,Estanis,ESP,FW,Barcelona,17,1,0,11,0,0,0,0,0,0,0,0,0
172,Pervis Estupiñán,ECU,DF,Villarreal,23,28,17,1575,0,1,3,0,0,0,0,0.8,2.5
173,Abdessamad Ezzalzouli,MAR,FW,Barcelona,19,10,6,580,1,0,4,0,0,0,0,1.3,0.9
174,Radamel Falcao,COL,FW,Rayo Vallecano,35,22,8,838,6,0,1,0,0,0,0,4.9,0.3
175,Fali,ESP,DFMF,Cádiz,27,28,23,1803,0,2,6,0,0,0,0,0.7,1.4
176,Omar Faraj,SWE,FW,Levante,19,1,0,4,0,0,0,0,0,0,0,0,0
177,Ansu Fati,ESP,FW,Barcelona,18,10,3,336,4,0,0,0,0,0,0,1.3,0.4
178,Aleix Febas,ESP,MF,Mallorca,25,4,1,117,0,0,1,0,0,0,0,0,0.2
179,Nabil Fekir,FRA,MF,Betis,28,34,33,2794,6,8,7,1,0,0,0,4.7,7
180,Felipe,BRA,DF,Atlético Madrid,32,26,15,1504,2,1,5,1,0,0,0,0.7,0.4
181,João Félix,POR,FWMF,Atlético Madrid,21,24,13,1263,8,4,3,1,1,0,0,5.7,4.7
182,Aitor Fernández,ESP,GK,Levante,30,13,13,1166,0,0,1,1,0,0,0,0,0
183,Álex Fernández,ESP,MF,Cádiz,28,32,22,2051,3,2,2,0,0,1,2,3,1.3
184,Fernando,BRA,MFDF,Sevilla,34,24,21,1850,1,1,6,0,0,0,0,1,0.4
185,Fidel,ESP,MF,Elche,31,33,29,2261,5,6,9,0,0,1,1,2.8,4.4
186,José Fontán,ESP,DF,Celta Vigo,21,9,3,276,0,0,3,0,0,0,0,0.2,0.1
187,Dimitri Foulquier,FRA,DF,Granada,28,2,2,180,0,0,0,0,0,0,0,0,0
188,Dimitri Foulquier,FRA,DF,Valencia,28,29,25,2342,0,1,11,0,0,0,0,0.6,0.6
189,Juan Foyth,ARG,DF,Villarreal,23,25,22,1924,1,1,6,1,1,0,0,0.7,1.1
190,Enric Franquesa,ESP,DFFW,Levante,24,16,6,625,0,0,1,0,0,0,0,0.1,0.1
191,Jorge de Frutos,ESP,MFFW,Levante,24,25,20,1760,4,7,4,0,0,0,0,4.9,3.3
192,Javi Galán,ESP,DF,Celta Vigo,26,37,37,3298,0,3,8,0,0,0,0,0.5,2.4
193,Iñigo Ruiz de Galarreta,ESP,MF,Mallorca,27,22,17,1378,0,0,4,0,0,0,0,0.4,0.6
194,Thiago Galhardo,BRA,FWMF,Celta Vigo,32,31,9,1148,2,2,5,0,0,0,0,3.4,1.9
195,Álvaro García,ESP,FWMF,Rayo Vallecano,28,36,34,2998,7,4,6,0,0,0,0,5.3,4.7
196,Dani García,ESP,MF,Athletic Club,31,32,27,2177,0,0,9,0,0,0,0,0.6,0.6
197,David García,ESP,DF,Osasuna,27,35,35,3105,4,0,8,0,0,0,0,1.2,0.5
198,Eric García,ESP,DF,Barcelona,20,26,23,2039,0,0,5,1,0,0,0,0.2,0.1
199,Francisco Garcia,ESP,DF,Rayo Vallecano,21,34,34,3025,1,0,4,0,0,0,0,0.9,1.7
200,Joan García,ESP,GK,Espanyol,20,2,1,108,0,0,0,0,0,0,0,0,0
201,Manu García,ESP,MF,Alavés,23,24,10,1077,0,1,3,0,0,0,0,0.3,1.1
202,Raúl García,ESP,FW,Athletic Club,35,35,24,1802,6,2,3,0,0,0,1,6.1,2.7
203,Rubén García,ESP,MFFW,Osasuna,28,37,30,2375,1,6,1,0,0,0,2,3.1,3.4
204,Saúl García,ESP,MF,Alavés,26,1,0,4,0,0,0,0,0,0,0,0,0
205,Unai García,ESP,DF,Osasuna,29,18,15,1408,0,0,5,0,0,0,0,0.3,0.1
206,Mario Gaspar,ESP,DF,Villarreal,30,12,7,623,0,0,1,0,0,0,0,0.3,0.6
207,Gavi,ESP,MFFW,Barcelona,16,34,28,2316,2,5,11,1,1,0,0,3.6,3.2
208,Óscar Gil,ESP,DF,Espanyol,24,22,20,1688,0,2,7,0,0,0,0,0.2,2
209,Mario Gila,ESP,DF,Real Madrid,20,2,0,25,0,0,0,0,0,0,0,0,0
210,Dani Gómez,ESP,FW,Levante,23,28,11,1063,4,2,1,0,0,0,0,4.7,2.2
211,Maxi Gómez,URU,FW,Valencia,24,29,21,1956,5,1,7,1,1,0,0,4.8,1.9
212,Moi Gómez,ESP,MFFW,Villarreal,27,29,13,1286,2,2,2,0,0,0,0,2.6,2.7
213,Papu Gómez,ARG,FWMF,Sevilla,33,29,19,1784,5,1,4,0,0,0,0,2,1.9
214,Sergi Gómez,ESP,DF,Espanyol,29,31,31,2720,1,2,1,1,0,0,0,0.4,1.2
215,Maxime Gonalons,FRA,MF,Granada,32,25,20,1550,0,2,6,0,0,0,0,0.3,0.7
216,Diego González,ESP,DF,Elche,26,28,19,1793,0,0,3,1,0,0,0,0.3,0
217,Édgar González,ESP,DF,Betis,24,21,14,1464,1,1,6,0,0,0,0,1.1,0.8
218,Giovanni González,URU,DF,Mallorca,26,9,3,365,1,0,1,0,0,0,0,0.3,0.9
219,Nicolás González,ESP,MF,Barcelona,19,27,12,1114,2,1,6,0,0,0,0,1.4,0.8
220,Peter González,DOM,MFDF,Real Madrid,19,3,0,27,0,0,0,0,0,0,0,0.1,0.2
221,Roberto González,ESP,FWMF,Betis,20,4,1,135,0,0,0,0,0,0,0,0.1,0
222,Gori,ESP,MF,Espanyol,19,1,0,9,0,0,1,0,0,0,0,0,0.1
223,Andoni Gorosabel,ESP,DF,Real Sociedad,24,32,25,2289,0,4,4,0,0,0,0,0.5,2.7
224,Jaume Grau,ESP,MF,Osasuna,24,1,0,3,0,0,0,0,0,0,0,0,0
225,Dominik Greif,SVK,GK,Mallorca,24,1,1,90,0,0,0,0,0,0,0,0,0
226,Clément Grenier,FRA,MF,Mallorca,30,5,0,60,1,0,1,0,0,0,0,0.6,0
227,Antoine Griezmann,FRA,FW,Barcelona,30,3,3,263,0,0,0,0,0,0,0,0.3,0
228,Antoine Griezmann,FRA,FWMF,Atlético Madrid,30,26,21,1695,3,4,3,0,0,0,0,5.1,3.1
229,Andrés Guardado,MEX,MF,Betis,34,28,17,1393,0,1,4,0,0,0,0,0.9,0.4
230,Sergi Guardiola,ESP,FW,Rayo Vallecano,30,32,20,1710,8,2,3,0,0,1,1,7.1,2
231,Nemanja Gudelj,SRB,DFMF,Sevilla,29,21,9,1046,0,0,5,0,0,0,0,0.1,0.1
232,Gonçalo Guedes,POR,FWMF,Valencia,24,36,30,2606,11,6,3,0,0,1,2,6.4,4
233,Ander Guevara,ESP,MF,Real Sociedad,24,17,11,867,0,0,2,0,0,0,0,0.1,0.3
234,John Guidetti,SWE,FWMF,Alavés,29,10,2,279,0,0,2,0,0,0,0,1,0.2
235,Hugo Guillamón,ESP,MFDF,Valencia,21,31,28,2361,1,0,11,2,1,0,0,0.4,0.4
236,Gerard Gumbau,ESP,MF,Elche,26,31,20,1890,0,4,8,1,0,0,0,0.7,2.8
237,Jon Guridi,ESP,MF,Real Sociedad,26,8,1,206,1,0,0,0,0,0,0,0.9,0.1
238,Raúl Guti,ESP,MF,Elche,24,31,17,1627,0,0,4,1,1,0,0,1.2,0.3
239,Marcos Mauro López Gutiérrez,ARG,DF,Cádiz,30,3,1,136,0,0,1,0,0,0,0,0,0
240,Miguel Gutiérrez,ESP,DF,Real Madrid,20,3,3,260,0,1,1,0,0,0,0,0,0.4
241,Munir El Haddadi,MAR,FWMF,Sevilla,25,16,4,474,2,0,3,0,0,0,0,1.4,0.6
242,Varazdat Haroyan,ARM,DF,Cádiz,28,17,16,1437,1,0,9,0,0,0,0,0.7,0.1
243,Eden Hazard,BEL,FWMF,Real Madrid,30,18,7,717,0,1,3,0,0,0,0,1,2
